date,Seria 1,Seria 2,Seria 3
1,1000,25,50
2,1001,50,60
3,1002,75,70
4,1003,100,80
5,1004,125,90
6,1005,150,100
7,1006,175,110
8,1007,200,120
9,1008,225,130
10,1009,250,140
11,1010,275,150
12,1011,300,160
13,1012,325,170
14,1013,350,180
15,1014,375,190
16,1015,400,200
17,1016,425,210
18,1017,450,220
19,1018,475,230
20,1019,500,240
21,1020,525,250
22,1021,550,260
23,1022,575,270
24,1023,600,280
25,1024,625,290
26,1025,650,300
27,1026,675,310
28,1027,700,320
29,1028,725,330
30,1029,750,340
31,1030,775,350
32,1031,800,360
33,1032,825,370
34,1033,850,380
35,1034,875,390
36,1035,900,400
37,1036,925,410
38,1037,950,420
39,1038,975,430
40,1039,1000,440
41,1040,1025,450
42,1041,1050,460
43,1042,1075,470
44,1043,1100,480
45,1044,1125,490
46,1045,1150,500
47,1046,1175,510
48,1047,1200,520
49,1048,1225,530
50,1049,1250,540
51,1050,1275,550
52,1051,1300,560
53,1052,1325,570
54,1053,1350,580
55,1054,1375,590
56,1055,1400,600
57,1056,1425,610
58,1057,1450,620
59,1058,1475,630
60,1059,1500,640
61,1060,1525,650
62,1061,1550,660
63,1062,1575,670
64,1063,1600,680
65,1064,1625,690
66,1065,1650,700
67,1066,1675,710
68,1067,1700,720
69,1068,1725,730
70,1069,1750,740
71,1070,1775,750
72,1071,1800,760
73,1072,1825,770
74,1073,1850,780
75,1074,1875,790
76,1075,1900,800
77,1076,1925,810
78,1077,1950,820
79,1078,1975,830
80,1079,2000,840
81,1080,2025,850
82,1081,2050,860
83,1082,2075,870
84,1083,2100,880
85,1084,2125,890
86,1085,2150,900
87,1086,2175,910
88,1087,2200,920
89,1088,2225,930
90,1089,2250,940
91,1090,2275,950
92,1091,2300,960
93,1092,2325,970
94,1093,2350,980
95,1094,2375,990
96,1095,2400,1000
97,1096,2425,1010
98,1097,2450,1020
99,1098,2475,1030
100,1099,2500,1040
101,1100,2525,1050
102,1101,2550,1060
103,1102,2575,1070
104,1103,2600,1080
105,1104,2625,1090
106,1105,2650,1100
107,1106,2675,1110
108,1107,2700,1120
109,1108,2725,1130
110,1109,2750,1140
111,1110,2775,1150
112,1111,2800,1160
113,1112,2825,1170
114,1113,2850,1180
115,1114,2875,1190
116,1115,2900,1200
117,1116,2925,1210
118,1117,2950,1220
119,1118,2975,1230
120,1119,3000,1240
121,1120,3025,1250
122,1121,3050,1260
123,1122,3075,1270
124,1123,3100,1280
125,1124,3125,1290
126,1125,3150,1300
127,1126,3175,1310
128,1127,3200,1320
129,1128,3225,1330
130,1129,3250,1340
131,1130,3275,1350
132,1131,3300,1360
133,1132,3325,1370
134,1133,3350,1380
135,1134,3375,1390
136,1135,3400,1400
137,1136,3425,1410
138,1137,3450,1420
139,1138,3475,1430
140,1139,3500,1440
141,1140,3525,1450
142,1141,3550,1460
143,1142,3575,1470
144,1143,3600,1480
145,1144,3625,1490
146,1145,3650,1500
147,1146,3675,1510
148,1147,3700,1520
149,1148,3725,1530
150,1149,3750,1540
151,1150,3775,1550
152,1151,3800,1560
153,1152,3825,1570
154,1153,3850,1580
155,1154,3875,1590
156,1155,3900,1600
157,1156,3925,1610
158,1157,3950,1620
159,1158,3975,1630
160,1159,4000,1640
161,1160,4025,1650
162,1161,4050,1660
163,1162,4075,1670
164,1163,4100,1680
165,1164,4125,1690
166,1165,4150,1700
167,1166,4175,1710
168,1167,4200,1720
169,1168,4225,1730
170,1169,4250,1740
171,1170,4275,1750
172,1171,4300,1760
173,1172,4325,1770
174,1173,4350,1780
175,1174,4375,1790
176,1175,4400,1800
177,1176,4425,1810
178,1177,4450,1820
179,1178,4475,1830
180,1179,4500,1840
181,1180,4525,1850
182,1181,4550,1860
183,1182,4575,1870
184,1183,4600,1880
185,1184,4625,1890
186,1185,4650,1900
187,1186,4675,1910
188,1187,4700,1920
189,1188,4725,1930
190,1189,4750,1940
191,1190,4775,1950
192,1191,4800,1960
193,1192,4825,1970
194,1193,4850,1980
195,1194,4875,1990
196,1195,4900,2000
197,1196,4925,2010
198,1197,4950,2020
199,1198,4975,2030
200,1199,5000,2040
201,1200,5025,2050
202,1201,5050,2060
203,1202,5075,2070
204,1203,5100,2080
205,1204,5125,2090
206,1205,5150,2100
207,1206,5175,2110
208,1207,5200,2120
209,1208,5225,2130
210,1209,5250,2140
211,1210,5275,2150
212,1211,5300,2160
213,1212,5325,2170
214,1213,5350,2180
215,1214,5375,2190
216,1215,5400,2200
217,1216,5425,2210
218,1217,5450,2220
219,1218,5475,2230
220,1219,5500,2240
221,1220,5525,2250
222,1221,5550,2260
223,1222,5575,2270
224,1223,5600,2280
225,1224,5625,2290
226,1225,5650,2300
227,1226,5675,2310
228,1227,5700,2320
229,1228,5725,2330
230,1229,5750,2340
231,1230,5775,2350
232,1231,5800,2360
233,1232,5825,2370
234,1233,5850,2380
235,1234,5875,2390
236,1235,5900,2400
237,1236,5925,2410
238,1237,5950,2420
239,1238,5975,2430
240,1239,6000,2440
241,1240,6025,2450
242,1241,6050,2460
243,1242,6075,2470
244,1243,6100,2480
245,1244,6125,2490
246,1245,6150,2500
247,1246,6175,2510
248,1247,6200,2520
249,1248,6225,2530
